taxonID,chl_category,chl_source,mean_body_length,sd_body_length,n_obs,mean_chl
CYCSP1,Eutrophic (30-75),Discrete samples,0.5983333333333334,NA,33,47.64228956228956
CYCSP1,Eutrophic (30-75),Sensor data,0.7685,NA,8,36.32078665621896
DIASP10,Oligotrophic (<5),Discrete samples,0.560046511627907,NA,86,2.037105607570724
DIASP10,Oligotrophic (<5),Sensor data,0.5920149253731343,NA,67,2.746800848622757
DIASP10,Mesotrophic (5-15),Discrete samples,0.5413478260869565,NA,46,7.97409420289855
DIASP10,Mesotrophic (5-15),Sensor data,0.6038888888888889,NA,9,9.840591497871255
DIASP10,Meso-eutrophic (15-30),Sensor data,0.546953488372093,NA,43,16.88599657435618
DIASP10,Eutrophic (30-75),Discrete samples,0.6153,NA,10,46.78467777777778
DIASP10,Eutrophic (30-75),Sensor data,0.591,NA,20,35.05217042606178
DIASP10,Hypertrophic (>75),Discrete samples,0.735,NA,6,167.2488888888889
KELLON,Oligotrophic (<5),Discrete samples,0.1788507462686567,NA,67,2.2612754409769336
KELLON,Oligotrophic (<5),Sensor data,0.16001428571428572,NA,70,2.9526254220188197
KELLON,Mesotrophic (5-15),Discrete samples,0.14402222222222222,NA,45,7.642493827160493
KELLON,Mesotrophic (5-15),Sensor data,0.17222222222222222,NA,9,6.07265847283654
KELLON,Eutrophic (30-75),Discrete samples,0.15,NA,4,35.25666666666667
KERCOC,Oligotrophic (<5),Discrete samples,0.12202127659574467,NA,47,2.4775349237051367
KERCOC,Oligotrophic (<5),Sensor data,0.1243061224489796,NA,49,3.231832352125224
KERCOC,Mesotrophic (5-15),Discrete samples,0.1246734693877551,NA,49,7.853877551020408
KERCOC,Mesotrophic (5-15),Sensor data,0.123,NA,14,10.683260685261335
KERCOC,Meso-eutrophic (15-30),Discrete samples,0.10425,NA,8,19.551458333333333
KERCOC,Meso-eutrophic (15-30),Sensor data,0.09000000000000001,NA,15,24.148563866992948
KERCOC,Eutrophic (30-75),Discrete samples,0.10316666666666667,NA,30,44.46818888888889
KERCOC,Eutrophic (30-75),Sensor data,0.0925,NA,6,37.47133483573156
KERCOC,Hypertrophic (>75),Discrete samples,0.08333333333333333,NA,3,167.2488888888889
KERSP,Oligotrophic (<5),Discrete samples,0.11176190476190477,NA,21,3.4838864838864843
KERSP,Oligotrophic (<5),Sensor data,0.1196,NA,40,3.1033812981612856
KERSP,Mesotrophic (5-15),Discrete samples,0.1225909090909091,NA,44,9.005164141414141
KERSP,Mesotrophic (5-15),Sensor data,0.09625,NA,8,11.724558010388613
KERSP,Meso-eutrophic (15-30),Discrete samples,0.099,NA,4,24.24
KERSP,Meso-eutrophic (15-30),Sensor data,0.106,NA,20,18.569001477637443
KERSP,Eutrophic (30-75),Discrete samples,0.09971428571428571,NA,21,42.80702645502645
KERSP,Eutrophic (30-75),Sensor data,0.1050909090909091,NA,11,37.78512070287136
KERSP,Hypertrophic (>75),Discrete samples,0.104375,NA,16,132.1551388888889
KERTAU,Oligotrophic (<5),Discrete samples,0.1800967741935484,NA,62,2.46574199657869
KERTAU,Oligotrophic (<5),Sensor data,0.1667027027027027,NA,74,2.916712505289811
KERTAU,Mesotrophic (5-15),Discrete samples,0.1392549019607843,NA,51,7.528191721132897
KERTAU,Mesotrophic (5-15),Sensor data,0.23725,NA,8,6.07265847283654
KERTAU,Meso-eutrophic (15-30),Sensor data,0.175,NA,1,16.209459924243895
KERTAU,Eutrophic (30-75),Discrete samples,0.1688888888888889,NA,9,35.25666666666667
MESEDA,Oligotrophic (<5),Discrete samples,0.9933103448275862,NA,87,2.284689816888093
MESEDA,Oligotrophic (<5),Sensor data,1.06095,NA,60,2.933511653716215
MESEDA,Mesotrophic (5-15),Discrete samples,1.174263157894737,NA,38,7.291666666666666
MESEDA,Mesotrophic (5-15),Sensor data,1.2503333333333333,NA,6,6.07265847283654
MESEDA,Meso-eutrophic (15-30),Sensor data,1.0394,NA,40,18.186085325512025
MESEDA,Eutrophic (30-75),Discrete samples,1.425181818181818,NA,11,42.926515151515154
MESEDA,Eutrophic (30-75),Sensor data,1.0740434782608697,NA,23,34.643227138280025
MESEDA,Hypertrophic (>75),Discrete samples,0.9266666666666666,NA,6,167.2488888888889
POLSP20,Oligotrophic (<5),Discrete samples,0.10120253164556962,NA,79,2.695556834164429
POLSP20,Oligotrophic (<5),Sensor data,0.11018584070796462,NA,113,3.0972503247734204
POLSP20,Mesotrophic (5-15),Discrete samples,0.10612087912087913,NA,91,8.251367521367522
POLSP20,Mesotrophic (5-15),Sensor data,0.10023076923076923,NA,13,8.84140470938757
POLSP20,Meso-eutrophic (15-30),Discrete samples,0.127,NA,1,16.738333333333333
POLSP20,Meso-eutrophic (15-30),Sensor data,0.10140625,NA,32,21.5374117084089
POLSP20,Eutrophic (30-75),Discrete samples,0.1243777777777778,NA,45,46.68830864197531
POLSP20,Eutrophic (30-75),Sensor data,0.1,NA,7,38.621883015244165
POLSP20,Hypertrophic (>75),Discrete samples,0.10266666666666667,NA,15,133.9748148148148
