siteID,namedLocation,collectDate,eventID,sampleID,samplerType,towsTrapsVolume,sampleNumber,towsTrapsNumber,zooDepth1,zooDepth2,zooDepth3,taxonID,nauplii,zooMinimumLength,zooMeanLength,zooMaximumLength,zooWidth,adjCountPerBottle,aquaticSiteType,countPerL
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,COPSP,Y,0.112,0.148,0.225,NA,7834,lake,14.308675799086759
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,LEPSP32,N,NA,NA,NA,NA,17,lake,0.031050228310502283
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,ALOSP1,N,NA,NA,NA,NA,6,lake,0.010958904109589041
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,POLSP20,N,0.1,0.1,0.1,NA,6,lake,0.010958904109589041
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,CYCSP,N,0.375,0.408,0.45,NA,17,lake,0.031050228310502283
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,1,3,2.5,2.5,2.5,TROPRA1,N,0.45,0.518,0.55,NA,40,lake,0.0730593607305936
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,CALSP1,N,0.65,0.88,1.075,NA,134,lake,0.4079147640791476
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,COPSP,Y,0.012,0.138,0.188,NA,6138,lake,18.684931506849313
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,GASSTY,N,0.1,0.103,0.112,NA,492,lake,1.4977168949771689
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,LECSP1,N,0.138,0.14,0.15,NA,47,lake,0.1430745814307458
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,LECLIG,N,NA,NA,NA,NA,4,lake,0.0121765601217656
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,TRISIM,N,0.175,0.184,0.188,NA,30,lake,0.091324200913242
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,MONBUL,N,0.112,0.112,0.112,NA,43,lake,0.1308980213089802
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,PTYBRA,N,0.15,0.176,0.188,NA,43,lake,0.1308980213089802
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,TROPRA1,N,0.475,0.506,0.55,NA,17,lake,0.0517503805175038
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,HESAUG,N,1.025,1.097,1.175,NA,86,lake,0.2617960426179604
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,CYCSP,N,0.425,0.462,0.55,NA,26,lake,0.0791476407914764
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,SKIMIS,N,0.925,1.005,1.075,NA,138,lake,0.4200913242009132
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,BDESP,N,0.162,0.186,0.188,NA,112,lake,0.3409436834094368
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,2,3,1.5,1.5,1.5,ROTSP,N,0.225,0.248,0.275,NA,30,lake,0.091324200913242
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,MACSP4,NA,0.34,0.34,0.34,NA,1,lake,0.041666666666666664
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,POLSP20,NA,0.07,0.075,0.08,NA,2,lake,0.08333333333333333
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,GASSTY,NA,0.12,0.12,0.12,NA,1,lake,0.041666666666666664
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,MONSP8,NA,0.1,0.1,0.1,NA,2,lake,0.08333333333333333
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,CALSP1,NA,0.32,0.325,0.33,NA,2,lake,0.08333333333333333
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,LECMIR,NA,0.11,0.11,0.11,NA,2,lake,0.08333333333333333
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,TRISP31,NA,0.11,0.133,0.18,0.04,7,lake,0.2916666666666667
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,ACRHAR,NA,0.42,0.42,0.42,NA,1,lake,0.041666666666666664
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,TROPRA1,NA,0.4,0.445,0.49,NA,2,lake,0.08333333333333333
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,SYNSP8,NA,0.08,0.094,0.1,NA,14,lake,0.5833333333333334
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,KERTAU,NA,0.14,0.152,0.17,NA,104,lake,4.333333333333333
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,COPSP,Y,0.09,0.172,0.27,NA,64,lake,2.6666666666666665
BARC,BARC.AOS.littoral2,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.5,NA,CYCSP,NA,0.22,0.269,0.35,NA,13,lake,0.5416666666666666
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,ASPPRI,NA,NA,NA,NA,NA,245,lake,0.319634703196347
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,GASSTY,NA,0.1,0.1,0.1,NA,245,lake,0.319634703196347
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,CYCSP,NA,0.188,0.188,0.188,NA,123,lake,0.16046966731898238
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,ARCFLO,NA,0.8,0.806,0.812,NA,736,lake,0.9602087410306588
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,LECMIR,NA,0.112,0.112,0.112,NA,123,lake,0.16046966731898238
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,TROPRA1,NA,0.375,0.375,0.375,NA,123,lake,0.16046966731898238
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,SYNSP8,NA,0.1,0.106,0.112,NA,1105,lake,1.441617742987606
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,SKIMIS,NA,0.75,0.85,0.938,NA,1350,lake,1.761252446183953
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,CALSP1,NA,0.375,0.489,0.625,NA,982,lake,1.2811480756686235
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,COPSP,Y,0.112,0.207,0.275,NA,5032,lake,6.564905414220482
BARC,BARC.AOS.buoy.c0,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.TOW.1,tow net,766.5,1,3,3.5,3.5,3.5,KERTAU,NA,0.125,0.129,0.15,NA,22461,lake,29.303326810176124
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,LECMIR,NA,0.112,0.119,0.125,NA,4,lake,0.1111111111111111
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,CALSP1,NA,0.475,0.488,0.5,NA,7,lake,0.19444444444444445
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,TRISP31,NA,0.175,0.175,0.175,NA,4,lake,0.1111111111111111
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,GASSTY,NA,NA,NA,NA,NA,3,lake,0.08333333333333333
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,CYCSP,NA,0.275,0.312,0.35,NA,11,lake,0.3055555555555556
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,SYNSP8,NA,0.075,0.088,0.1,NA,12,lake,0.3333333333333333
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,TROPRA1,NA,0.4,0.456,0.5,NA,4,lake,0.1111111111111111
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,LECUNG,NA,NA,NA,NA,NA,1,lake,0.027777777777777776
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,COPSP,Y,0.188,0.211,0.25,NA,414,lake,11.5
BARC,BARC.AOS.littoral1,2015-07-01T16:00:00Z,BARC.20150701,BARC.20150701.SCHINDLER.2,Schindler-Patalas,36,2,3,0.5,1.3,2,KERTAU,NA,0.138,0.159,0.188,NA,34,lake,0.9444444444444444
BARC,BARC.AOS.littoral2,2015-11-05T17:00:00Z,BARC.20151105,BARC.20151105.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.7,NA,SKIMIS,NA,0.7,0.843,0.95,NA,47,lake,1.9583333333333333
BARC,BARC.AOS.littoral2,2015-11-05T17:00:00Z,BARC.20151105,BARC.20151105.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.7,NA,TROPRA1,NA,0.4,0.441,0.5,NA,187,lake,7.791666666666667
BARC,BARC.AOS.littoral2,2015-11-05T17:00:00Z,BARC.20151105,BARC.20151105.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.7,NA,MONBUL,NA,0.1,0.1,0.1,NA,27,lake,1.125
BARC,BARC.AOS.littoral2,2015-11-05T17:00:00Z,BARC.20151105,BARC.20151105.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.7,NA,BDESP,NA,0.125,0.125,0.125,NA,7,lake,0.2916666666666667
BARC,BARC.AOS.littoral2,2015-11-05T17:00:00Z,BARC.20151105,BARC.20151105.SCHINDLER.3,Schindler-Patalas,24,3,2,0.5,0.7,NA,CALSP1,NA,0.35,0.487,0.7,NA,87,lake,3.625
