siteID,namedLocation,collectDate,eventID,sampleID,samplerType,towsTrapsVolume,taxonID,nauplii,zooMinimumLength,zooMaximumLength,zooWidth,adjCountPerBottle,aquaticSiteType,countPerL,mean_body_length,max_body_length
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,HESAUG,N,0.9,1.075,,876,lake,1.276595744680851,0.9875,1.075
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,CALSP1,N,0.375,0.85,,7009,lake,10.21422325852521,0.6125,0.85
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,LECMIR,N,0.112,0.112,,31,lake,0.0451763334304867,0.112,0.112
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,LEPSP32,N,0.062,0.062,,31,lake,0.0451763334304867,0.062,0.062
BARC,BARC.AOS.buoy.c0,2014-07-02T16:00:00Z,BARC.20140702,BARC.BOUY.20140702.ZOO,tow net,686.2,SKIMIS,N,0.775,1.0,,1126,lake,1.6409210142815505,0.8875,1.0
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,LECMIR,N,0.112,0.112,,9,lake,0.375,0.112,0.112
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,PTYBRA,N,0.188,0.188,,879,lake,36.625,0.188,0.188
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,CALSP1,N,0.875,0.875,,9,lake,0.375,0.875,0.875
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,MONBUL,N,0.112,0.112,,818,lake,34.083333333333336,0.112,0.112
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,OXYSP3,N,0.3,0.3,,18,lake,0.75,0.3,0.3
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,ACRHAR,N,0.55,0.575,,53,lake,2.208333333333333,0.5625,0.575
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,CHYSPH,N,0.225,0.275,,35,lake,1.4583333333333333,0.25,0.275
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,LECINE,N,0.125,0.125,,9,lake,0.375,0.125,0.125
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,CYCSP,N,0.425,0.575,,193,lake,8.041666666666666,0.5,0.575
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,LEPSP32,N,0.062,0.062,,35,lake,1.4583333333333333,0.062,0.062
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,MACSP4,N,0.35,0.375,,35,lake,1.4583333333333333,0.3625,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,LATOCC1,N,0.55,0.55,,9,lake,0.375,0.55,0.55
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,LECLEO,N,0.175,0.175,,9,lake,0.375,0.175,0.175
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,ROTSP,N,0.262,0.375,,255,lake,10.625,0.3185,0.375
BARC,BARC.AOS.littoral2,2014-07-02T16:00:00Z,BARC.20140702,BARC.OUT.20140702.ZOO,Schindler-Patalas,24.0,TROPRA1,N,0.35,0.412,,88,lake,3.6666666666666665,0.381,0.412
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,CALSP1,N,0.4,0.55,,9,lake,0.375,0.47500000000000003,0.55
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,MONBUL,N,0.112,0.112,,10,lake,0.4166666666666667,0.112,0.112
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,TROPRA1,N,0.475,0.525,,5,lake,0.2083333333333333,0.5,0.525
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,GASSTY,N,0.1,0.112,,9,lake,0.375,0.10600000000000001,0.112
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,CHYSPH,N,0.225,0.225,,1,lake,0.0416666666666666,0.225,0.225
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,PTYBRA,N,0.15,0.188,,32,lake,1.3333333333333333,0.16899999999999998,0.188
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,LECSP1,N,0.138,0.15,,25,lake,1.0416666666666667,0.14400000000000002,0.15
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,CYCSP,N,0.225,0.5,,60,lake,2.5,0.3625,0.5
BARC,BARC.AOS.littoral2,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.SCHINDLER.3,Schindler-Patalas,24.0,LECLIG,N,0.112,0.112,,13,lake,0.5416666666666666,0.112,0.112
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,TRISIM,N,,,,6,lake,0.010958904109589,,
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,LECSP1,N,0.138,0.15,,114,lake,0.2082191780821917,0.14400000000000002,0.15
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,SKIMIS,N,1.0,1.075,,177,lake,0.3232876712328767,1.0375,1.075
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,HESAUG,N,1.025,1.125,,251,lake,0.4584474885844748,1.075,1.125
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,GASSTY,N,0.1,0.112,,480,lake,0.8767123287671232,0.10600000000000001,0.112
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,CALSP1,N,0.425,0.9,,411,lake,0.7506849315068493,0.6625,0.9
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,BDESP,N,0.188,0.188,,114,lake,0.2082191780821917,0.188,0.188
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,MONBUL,N,0.112,0.112,,86,lake,0.1570776255707762,0.112,0.112
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,LEPSP32,N,,,,17,lake,0.0310502283105022,,
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,ALOSP1,N,,,,6,lake,0.010958904109589,,
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,POLSP20,N,0.1,0.1,,6,lake,0.010958904109589,0.1,0.1
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,CYCSP,N,0.375,0.45,,17,lake,0.0310502283105022,0.4125,0.45
BARC,BARC.AOS.buoy.c0,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.1,tow net,547.5,TROPRA1,N,0.45,0.55,,40,lake,0.0730593607305936,0.5,0.55
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,CALSP1,N,0.65,1.075,,134,lake,0.4079147640791476,0.8625,1.075
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,GASSTY,N,0.1,0.112,,492,lake,1.4977168949771689,0.10600000000000001,0.112
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,LECSP1,N,0.138,0.15,,47,lake,0.1430745814307458,0.14400000000000002,0.15
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,LECLIG,N,,,,4,lake,0.0121765601217656,,
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,TRISIM,N,0.175,0.188,,30,lake,0.091324200913242,0.1815,0.188
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,MONBUL,N,0.112,0.112,,43,lake,0.1308980213089802,0.112,0.112
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,PTYBRA,N,0.15,0.188,,43,lake,0.1308980213089802,0.16899999999999998,0.188
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,TROPRA1,N,0.475,0.55,,17,lake,0.0517503805175038,0.5125,0.55
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,HESAUG,N,1.025,1.175,,86,lake,0.2617960426179604,1.1,1.175
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,CYCSP,N,0.425,0.55,,26,lake,0.0791476407914764,0.48750000000000004,0.55
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,SKIMIS,N,0.925,1.075,,138,lake,0.4200913242009132,1.0,1.075
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,BDESP,N,0.162,0.188,,112,lake,0.3409436834094368,0.175,0.188
BARC,BARC.AOS.littoral1,2015-02-18T17:00:00Z,BARC.20150218,BARC.20150218.TOW.2,tow net,328.5,ROTSP,N,0.225,0.275,,30,lake,0.091324200913242,0.25,0.275
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,DIASP10,N,0.4,0.5,,21,lake,0.875,0.45,0.5
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,LECSP1,N,0.1,0.13,,328,lake,13.666666666666666,0.115,0.13
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,TRISIM,N,0.18,0.2,0.08,10,lake,0.4166666666666667,0.19,0.2
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,LEPSP32,N,0.13,0.13,,10,lake,0.4166666666666667,0.13,0.13
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,SKIMIS,N,0.85,0.9,,31,lake,1.2916666666666667,0.875,0.9
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,MONQUA,N,0.1,0.1,,10,lake,0.4166666666666667,0.1,0.1
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,MONSP9,N,0.1,0.13,,256,lake,10.666666666666666,0.115,0.13
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,SYNSP8,N,0.1,0.13,,133,lake,5.541666666666667,0.115,0.13
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,EUCSP7,N,0.38,0.4,,21,lake,0.875,0.39,0.4
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,CONSP8,N,0.13,0.15,0.08,51,lake,2.125,0.14,0.15
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,CALSP1,N,0.45,0.75,,82,lake,3.4166666666666665,0.6,0.75
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,MONBUL,N,0.1,0.13,,133,lake,5.541666666666667,0.115,0.13
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,TRISP31,N,0.15,0.15,0.05,92,lake,3.8333333333333335,0.15,0.15
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,CYCSP,N,0.2,0.63,,267,lake,11.125,0.41500000000000004,0.63
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,BEASP1,N,0.15,0.15,,10,lake,0.4166666666666667,0.15,0.15
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,KERGRA,N,0.15,0.18,,72,lake,3.0,0.16499999999999998,0.18
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,GASSTY,N,0.08,0.1,,41,lake,1.7083333333333333,0.09,0.1
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,KERTAU,N,0.15,0.15,,923,lake,38.458333333333336,0.15,0.15
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,PLOLEN,N,0.13,0.13,,10,lake,0.4166666666666667,0.13,0.13
BARC,BARC.AOS.littoral2,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.3,Schindler-Patalas,24.0,TROPRA1,N,0.33,0.43,,144,lake,6.0,0.38,0.43
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,CALSP1,N,0.35,0.45,,17,lake,0.7083333333333334,0.4,0.45
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,TRISP31,N,0.18,0.23,0.08,127,lake,5.291666666666667,0.20500000000000002,0.23
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,PLOLEN,N,0.13,0.13,,6,lake,0.25,0.13,0.13
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,DIASP10,N,0.43,0.58,,22,lake,0.9166666666666666,0.505,0.58
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,KERGRA,N,0.15,0.18,,94,lake,3.9166666666666665,0.16499999999999998,0.18
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,TROPRA1,N,0.38,0.4,,17,lake,0.7083333333333334,0.39,0.4
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,ASCECA,N,0.1,0.1,,11,lake,0.4583333333333333,0.1,0.1
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,EUBTUB,N,0.28,0.33,,11,lake,0.4583333333333333,0.30500000000000005,0.33
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,KERTAU,N,0.15,0.15,,545,lake,22.70833333333333,0.15,0.15
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,CONSP8,N,0.18,0.18,0.08,6,lake,0.25,0.18,0.18
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,SYNSP8,N,0.15,0.18,,17,lake,0.7083333333333334,0.16499999999999998,0.18
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,MONSP9,N,0.1,0.1,,17,lake,0.7083333333333334,0.1,0.1
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,LECMIR,N,0.1,0.13,,6,lake,0.25,0.115,0.13
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,CYCSP,N,0.23,0.25,,17,lake,0.7083333333333334,0.24,0.25
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,GASSTY,N,0.08,0.08,,6,lake,0.25,0.08,0.08
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,MONBUL,N,0.1,0.13,,17,lake,0.7083333333333334,0.115,0.13
BARC,BARC.AOS.littoral1,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.SCHINDLER.2,Schindler-Patalas,24.0,LECSP1,N,0.13,0.13,,143,lake,5.958333333333333,0.13,0.13
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,KERGRA,N,0.15,0.18,,4800,lake,7.471980074719801,0.16499999999999998,0.18
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,GASSTY,N,0.08,0.08,,160,lake,0.24906600249066,0.08,0.08
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,SYNSP8,N,0.1,0.15,,7200,lake,11.207970112079702,0.125,0.15
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,CONSP8,N,0.15,0.15,0.08,160,lake,0.24906600249066,0.15,0.15
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,CALSP1,N,0.33,0.7,,8480,lake,13.200498132004984,0.515,0.7
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,EUBTUB,N,0.2,0.38,,960,lake,1.49439601494396,0.29000000000000004,0.38
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,DIASP10,N,0.33,0.63,,11520,lake,17.932752179327522,0.48,0.63
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,PLOLEN,N,0.1,0.15,,960,lake,1.49439601494396,0.125,0.15
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,ASCECA,N,0.1,0.1,,160,lake,0.24906600249066,0.1,0.1
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,TRISP31,N,0.18,0.23,0.08,4960,lake,7.721046077210461,0.20500000000000002,0.23
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,KERTAU,N,0.15,0.15,,29120,lake,45.33001245330013,0.15,0.15
BARC,BARC.AOS.buoy.c0,2017-06-28T12:16:00Z,BARC.20170628,BARC.20170628.TOWNET.1,tow net,642.4,ARCFLO,N,0.83,1.0,,1920,lake,2.9887920298879203,0.915,1.0
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,ALOSP2,N,0.23,0.23,,12,lake,0.3333333333333333,0.23,0.23
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,CONSP8,N,0.1,0.1,0.08,504,lake,14.0,0.1,0.1
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,NOTSP4,N,0.15,0.23,,24,lake,0.6666666666666666,0.19,0.23
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,CONUNI,N,0.08,0.08,0.05,288,lake,8.0,0.08,0.08
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,ASCECA,N,0.08,0.08,,12,lake,0.3333333333333333,0.08,0.08
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,TRISIM,N,0.13,0.13,0.08,72,lake,2.0,0.13,0.13
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,DIASP10,N,0.3,0.7,,48,lake,1.3333333333333333,0.5,0.7
BARC,BARC.AOS.littoral1,2017-10-31T16:07:00Z,BARC.20171031,BARC.20171031.SCHINDLER.2,Schindler-Patalas,36.0,GASSTY,N,0.08,0.08,,456,lake,12.666666666666666,0.08,0.08
