aquaticSiteType,siteID.x,namedLocation.x,collectDate.x,eventID,parentSampleID,sampleID,habitatType,algalSampleType,samplerType,benthicArea,substratumSizeClass,plantSurfaceArea,fieldSampleVolume,labSampleVolume,preservativeVolume,domainFilterVolume,ashMassDataQF,adjAshFreeDryMass
stream,HOPB,HOPB.AOS.S2,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.SESTON.1,HOPB.20180723.SESTON.1.AFDM.1,pool,seston,grab,NA,sand,NA,1000,NA,NA,350,NA,1e-4
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPIPSAMMON.2,HOPB.20180723.EPIPSAMMON.2.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,148,NA,NA,4,NA,0.0022
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPILITHON.5,HOPB.20180723.EPILITHON.5.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,4,NA,0.001
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPILITHON.1,HOPB.20180723.EPILITHON.1.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,4,NA,9e-4
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPILITHON.3,HOPB.20180723.EPILITHON.3.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,4,NA,8e-4
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPILITHON.2,HOPB.20180723.EPILITHON.2.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,4,NA,0.0011
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPIPSAMMON.1,HOPB.20180723.EPIPSAMMON.1.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,136,NA,NA,4,NA,0.0019
stream,HOPB,HOPB.AOS.reach,2018-07-23T14:51:00Z,HOPB.20180723,HOPB.20180723.EPILITHON.4,HOPB.20180723.EPILITHON.4.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,4,NA,7e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPIPSAMMON.1,HOPB.20181010.EPIPSAMMON.1.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,103,NA,NA,2,NA,3e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPIPSAMMON.3,HOPB.20181010.EPIPSAMMON.3.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,126,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPILITHON.4,HOPB.20181010.EPILITHON.4.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,1e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPILITHON.2,HOPB.20181010.EPILITHON.2.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,4e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPILITHON.5,HOPB.20181010.EPILITHON.5.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,6e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPIPSAMMON.2,HOPB.20181010.EPIPSAMMON.2.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,132,NA,NA,2,NA,4e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPILITHON.3,HOPB.20181010.EPILITHON.3.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,3e-4
stream,HOPB,HOPB.AOS.reach,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.EPILITHON.1,HOPB.20181010.EPILITHON.1.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.S2,2018-10-10T12:37:00Z,HOPB.20181010,HOPB.20181010.SESTON.1,HOPB.20181010.SESTON.1.AFDM.1,pool,seston,grab,NA,sand,NA,1000,NA,NA,250,NA,5e-4
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPIPSAMMON.2,HOPB.20190417.EPIPSAMMON.2.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,140,NA,NA,2,NA,0.0013
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPILITHON.2,HOPB.20190417.EPILITHON.2.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,1e-4
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPILITHON.4,HOPB.20190417.EPILITHON.4.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPILITHON.3,HOPB.20190417.EPILITHON.3.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.S2,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.SESTON.1,HOPB.20190417.SESTON.1.AFDM.1,pool,seston,grab,NA,sand,NA,1000,NA,NA,252,NA,1e-4
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPILITHON.1,HOPB.20190417.EPILITHON.1.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,3e-4
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPILITHON.5,HOPB.20190417.EPILITHON.5.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,1e-4
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPIPSAMMON.1,HOPB.20190417.EPIPSAMMON.1.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,139,NA,NA,2,NA,0.0015
stream,HOPB,HOPB.AOS.reach,2019-04-17T14:15:00Z,HOPB.20190417,HOPB.20190417.EPIPSAMMON.3,HOPB.20190417.EPIPSAMMON.3.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,137,NA,NA,2,NA,0.0026
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPIPSAMMON.3,HOPB.20190715.EPIPSAMMON.3.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,125,NA,NA,2,NA,0.003
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPILITHON.4,HOPB.20190715.EPILITHON.4.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPILITHON.5,HOPB.20190715.EPILITHON.5.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,1e-4
stream,HOPB,HOPB.AOS.S2,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.SESTON.1,HOPB.20190715.SESTON.1.AFDM.1,pool,seston,grab,NA,sand,NA,1000,NA,NA,300,NA,2e-4
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPIPSAMMON.2,HOPB.20190715.EPIPSAMMON.2.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,150,NA,NA,2,NA,0.0011
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPILITHON.3,HOPB.20190715.EPILITHON.3.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,4e-4
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPIPSAMMON.1,HOPB.20190715.EPIPSAMMON.1.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,130,NA,NA,2,NA,0.0021
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPILITHON.2,HOPB.20190715.EPILITHON.2.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.reach,2019-07-15T15:16:00Z,HOPB.20190715,HOPB.20190715.EPILITHON.1,HOPB.20190715.EPILITHON.1.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,2e-4
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPIPSAMMON.2,HOPB.20191007.EPIPSAMMON.2.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,125,NA,NA,2,NA,0.0016
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPIPSAMMON.1,HOPB.20191007.EPIPSAMMON.1.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,175,NA,NA,2,NA,0.002
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPILITHON.5,HOPB.20191007.EPILITHON.5.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,0
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPILITHON.2,HOPB.20191007.EPILITHON.2.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,4e-4
stream,HOPB,HOPB.AOS.S2,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.SESTON.1,HOPB.20191007.SESTON.1.AFDM.1,pool,seston,grab,NA,pebble,NA,1000,NA,NA,400,NA,3e-4
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPIPSAMMON.3,HOPB.20191007.EPIPSAMMON.3.AFDM.1,pool,epipsammon,grab,0.005938,sand,NA,158,NA,NA,2,NA,0.0039
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPILITHON.4,HOPB.20191007.EPILITHON.4.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,4e-4
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPILITHON.3,HOPB.20191007.EPILITHON.3.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,2e-4
stream,HOPB,HOPB.AOS.reach,2019-10-07T13:17:00Z,HOPB.20191007,HOPB.20191007.EPILITHON.1,HOPB.20191007.EPILITHON.1.AFDM.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,2,NA,1e-4
stream,LEWI,LEWI.AOS.S2,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.SESTON.1,LEWI.20161025.SESTON.1,run,seston,grab,NA,silt,NA,6000,NA,NA,400,NA,0
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPILITHON.1,LEWI.20161025.EPILITHON.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,125,NA,0.0015
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPILITHON.3,LEWI.20161025.EPILITHON.3,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,5,NA,8e-4
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPIPELON.4,LEWI.20161025.EPIPELON.4,run,epipelon,grab,0.005938,silt,NA,75,NA,NA,1,NA,0.008
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPIPELON.1,LEWI.20161025.EPIPELON.1,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,1,NA,0.0054
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPILITHON.2,LEWI.20161025.EPILITHON.2,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,5,NA,0.0011
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPIPELON.5,LEWI.20161025.EPIPELON.5,riffle,epipelon,grab,0.005938,silt,NA,75,NA,NA,1,NA,0.0105
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPIPELON.2,LEWI.20161025.EPIPELON.2,run,epipelon,grab,0.005938,silt,NA,75,NA,NA,1,NA,0.0045
stream,LEWI,LEWI.AOS.reach,2016-10-25T09:53:00Z,LEWI.20161025,LEWI.20161025.EPIPELON.3,LEWI.20161025.EPIPELON.3,run,epipelon,grab,0.005938,silt,NA,75,NA,NA,1,NA,0.0104
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPILITHON.2,LEWI.20170329.EPILITHON.2,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,5,NA,0.0015
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPILITHON.1,LEWI.20170329.EPILITHON.1,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,5,NA,0.0019
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPIPELON.1,LEWI.20170329.EPIPELON.1,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,5,NA,0.0349
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPIPELON.5,LEWI.20170329.EPIPELON.5,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,3,NA,0.0012
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPIPELON.2,LEWI.20170329.EPIPELON.2,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,3,NA,0.0041
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPIPELON.3,LEWI.20170329.EPIPELON.3,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,4,NA,0.0016
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPIPELON.4,LEWI.20170329.EPIPELON.4,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,3,NA,0.0077
stream,LEWI,LEWI.AOS.reach,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.EPILITHON.3,LEWI.20170329.EPILITHON.3,riffle,epilithon,scrub,0.002406,cobble,NA,125,NA,NA,5,NA,0.0011
stream,LEWI,LEWI.AOS.S2,2017-03-29T10:02:00Z,LEWI.20170329,LEWI.20170329.SESTON.1,LEWI.20170329.SESTON.1,run,seston,grab,NA,silt,NA,6000,NA,NA,500,NA,7e-4
stream,LEWI,LEWI.AOS.reach,2017-07-11T13:46:00Z,LEWI.20170711,LEWI.20170711.EPIPELON.3,LEWI.20170711.EPIPELON.3,run,epipelon,grab,0.005938,silt,NA,125,NA,NA,3,NA,0.0037
