siteID,namedLocation,year,month,n_samples,n_taxa,mean_body_length,sd_body_length,max_body_length,mean_body_width,mean_count_per_liter
BARC,BARC.AOS.littoral1,2023,11,10,10,0.23800000000000002,NA,0.312,0.07714285714285715,3.972222222222222
BARC,BARC.AOS.littoral2,2023,11,8,8,0.28625,NA,0.3075,0.09166666666666667,2.6284722222222223
BARC,BARC.AOS.buoy.c0,2024,2,10,10,0.309,NA,0.429,0.14142857142857143,2.545143212951432
BARC,BARC.AOS.littoral1,2024,2,13,13,0.3088461538461538,NA,0.4246153846153846,0.09,5.02991452991453
BARC,BARC.AOS.littoral2,2024,2,8,8,0.26249999999999996,NA,0.36,0.06,3.5902777777777777
BARC,BARC.AOS.buoy.c0,2024,7,6,6,0.3683333333333333,NA,0.5499999999999999,0.07,5.3816046966731905
BARC,BARC.AOS.littoral1,2024,7,10,10,0.4015,NA,0.498,0.07200000000000001,1.1444444444444444
BARC,BARC.AOS.littoral2,2024,7,3,3,0.45666666666666667,NA,0.61,NA,2.833333333333333
BARC,BARC.AOS.buoy.c0,2024,10,8,8,0.45,NA,0.52,0.07,4.251634495641346
BARC,BARC.AOS.littoral1,2024,10,10,10,0.2728,NA,0.3172,0.08885714285714286,3.25
BARC,BARC.AOS.littoral2,2024,10,8,8,0.261875,NA,0.30125,0.060000000000000005,0.3125
CRAM,CRAM.AOS.littoral1,2015,5,9,9,0.28,NA,0.2995555555555556,0.08666666666666667,14.356481481481481
CRAM,CRAM.AOS.littoral2,2015,5,10,10,0.3388888888888889,NA,0.39555555555555555,0.066,23.937499999999993
CRAM,CRAM.AOS.buoy.c0,2015,7,22,22,0.3831818181818182,NA,0.4809090909090909,0.10545454545454545,1.1353719846870531
CRAM,CRAM.AOS.littoral1,2015,7,19,19,0.4088888888888889,NA,0.45,0.11666666666666667,7.9298245614035086
CRAM,CRAM.AOS.littoral2,2015,7,14,14,0.3737142857142857,NA,0.4645714285714286,0.07200000000000001,18.904761904761905
CRAM,CRAM.AOS.buoy.c0,2015,9,16,16,0.49500000000000005,NA,0.6224999999999999,0.09333333333333334,0.7011272831050228
CRAM,CRAM.AOS.littoral1,2015,9,18,18,0.3247058823529412,NA,0.34941176470588237,0.1125,3.574074074074074
CRAM,CRAM.AOS.littoral2,2015,9,17,17,0.24875,NA,0.26625,0.101,1.8431372549019607
CRAM,CRAM.AOS.buoy.c0,2016,4,17,17,0.51625,NA,0.5916666666666667,0.135,6.943647596024712
CRAM,CRAM.AOS.littoral1,2016,4,13,13,0.27984615384615386,NA,0.3150769230769231,0.089,61.996794871794876
CRAM,CRAM.AOS.littoral2,2016,4,10,10,0.23500000000000001,NA,0.25,0.1,0.6291666666666667
CRAM,CRAM.AOS.buoy.c0,2017,5,18,18,0.3402777777777778,NA,0.3680555555555556,0.08,2.4287671232876713
CRAM,CRAM.AOS.littoral1,2017,5,8,8,0.246875,NA,0.26875,0.09,10.25
CRAM,CRAM.AOS.littoral2,2017,5,9,9,0.18472222222222223,NA,0.20833333333333334,0.08,7.828703703703704
CRAM,CRAM.AOS.buoy.c0,2017,7,17,17,0.18558823529411764,NA,0.20470588235294118,0.07,7.712674110740187
CRAM,CRAM.AOS.littoral1,2017,7,12,12,0.2533333333333333,NA,0.33416666666666667,0.060000000000000005,19.517361111111114
CRAM,CRAM.AOS.littoral2,2017,7,14,14,0.355,NA,0.38357142857142856,0.060000000000000005,14.866071428571427
CRAM,CRAM.AOS.buoy.c0,2017,9,17,17,0.6570588235294117,NA,0.6747058823529412,0.08666666666666667,1.994090786999731
CRAM,CRAM.AOS.littoral1,2017,9,12,12,0.22958333333333333,NA,0.2525,0.09,47.145833333333336
CRAM,CRAM.AOS.littoral2,2017,9,18,18,0.2605882352941177,NA,0.29000000000000004,0.09,5.8842592592592595
CRAM,CRAM.AOS.buoy.c0,2018,5,20,20,0.325,NA,0.3505263157894737,0.0825,0.8740011415525114
CRAM,CRAM.AOS.littoral1,2018,5,20,20,0.2826315789473684,NA,0.30526315789473685,0.08,41.93958333333333
CRAM,CRAM.AOS.littoral2,2018,5,17,17,0.2540625,NA,0.265625,0.11333333333333333,6.828431372549019
CRAM,CRAM.AOS.buoy.c0,2018,7,18,18,0.29250000000000004,NA,0.3005555555555556,0.07200000000000001,12.892982732378103
CRAM,CRAM.AOS.littoral1,2018,7,10,10,0.1895,NA,0.194,0.06666666666666667,38.6
CRAM,CRAM.AOS.littoral2,2018,7,12,12,0.16083333333333333,NA,0.17583333333333334,0.06666666666666667,32.42129629629629
CRAM,CRAM.AOS.buoy.c0,2018,10,15,15,0.7946666666666666,NA,0.8273333333333334,0.06666666666666667,0.420882800608828
CRAM,CRAM.AOS.littoral1,2018,10,17,17,0.23058823529411765,NA,0.24,0.05,16.544117647058822
CRAM,CRAM.AOS.littoral2,2018,10,13,13,0.2661538461538462,NA,0.2792307692307692,0.05,17.76282051282051
CRAM,CRAM.AOS.buoy.c0,2019,5,21,21,0.2838095238095238,NA,0.30404761904761907,0.07175000000000001,1.596192408977797
CRAM,CRAM.AOS.littoral1,2019,5,15,15,0.19316666666666668,NA,0.21233333333333332,0.06766666666666667,11.666666666666666
CRAM,CRAM.AOS.littoral2,2019,5,14,14,0.2292857142857143,NA,0.23464285714285715,0.06433333333333334,23.80952380952381
CRAM,CRAM.AOS.buoy.c1,2019,7,22,22,0.33571428571428574,NA,0.35000000000000003,0.07,10.219369671424465
CRAM,CRAM.AOS.littoral1,2019,7,9,9,0.14305555555555555,NA,0.15277777777777776,0.0625,37.777777777777786
CRAM,CRAM.AOS.littoral2,2019,7,11,11,0.14431818181818182,NA,0.15454545454545454,0.0625,79.69696969696969
CRAM,CRAM.AOS.buoy.c1,2019,9,18,18,0.5963235294117647,NA,0.6279411764705882,0.075,2.5505544683626877
CRAM,CRAM.AOS.littoral1,2019,9,16,16,0.25666666666666665,NA,0.28833333333333333,0.075,25.520833333333336
CRAM,CRAM.AOS.littoral2,2019,9,15,15,0.29464285714285715,NA,0.3357142857142857,0.075,18
CRAM,CRAM.AOS.buoy.c1,2020,6,18,18,0.2951388888888889,NA,0.31805555555555554,0.065,4.1593449850417255
CRAM,CRAM.AOS.littoral1,2020,6,16,16,0.23671875,NA,0.24375,0.05433333333333334,10.6875
CRAM,CRAM.AOS.littoral2,2020,6,16,16,0.16953125,NA,0.1828125,0.06875,8.125
CRAM,CRAM.AOS.buoy.c1,2020,7,21,21,0.3011904761904762,NA,0.3404761904761905,0.07250000000000001,4.698122780314561
CRAM,CRAM.AOS.littoral1,2020,7,16,16,0.17109375,NA,0.178125,0.0688,60.859375
CRAM,CRAM.AOS.littoral2,2020,7,16,16,0.14453125,NA,0.1515625,0.06666666666666667,4.28125
CRAM,CRAM.AOS.buoy.c1,2020,9,20,20,0.7914473684210528,NA,0.8105263157894737,0.05,2.07095693308367
CRAM,CRAM.AOS.littoral1,2020,9,13,13,0.18958333333333333,NA,0.19583333333333333,0.05,47.56410256410257
CRAM,CRAM.AOS.littoral2,2020,9,15,15,0.24821428571428572,NA,0.2625,0.05,64.88888888888889
CRAM,CRAM.AOS.buoy.c0,2021,4,21,21,0.346875,NA,0.38,0.08133333333333334,4.105701066601004
CRAM,CRAM.AOS.littoral1,2021,4,20,20,0.2618421052631579,NA,0.28157894736842104,0.08433333333333333,13
CRAM,CRAM.AOS.littoral2,2021,4,22,22,0.287797619047619,NA,0.3107142857142857,0.08399999999999999,12.632575757575758
CRAM,CRAM.AOS.buoy.c1,2021,7,20,20,0.2763157894736842,NA,0.3078947368421053,0.0674,1.2842465753424657
CRAM,CRAM.AOS.littoral1,2021,7,13,13,0.11979166666666666,NA,0.125,0.067,19.935897435897438
CRAM,CRAM.AOS.littoral2,2021,7,11,11,0.13874999999999998,NA,0.1475,0.058333333333333334,11.21590909090909
CRAM,CRAM.AOS.buoy.c1,2021,9,10,10,1.266,NA,1.476,0.06,1.4337899543378996
CRAM,CRAM.AOS.littoral1,2021,9,13,13,0.12730769230769232,NA,0.14461538461538462,0.06142857142857143,5.080128205128205
CRAM,CRAM.AOS.littoral2,2021,9,13,13,0.20846153846153848,NA,0.2276923076923077,0.0811111111111111,4.647435897435898
CRAM,CRAM.AOS.buoy.c1,2022,5,17,17,0.9594117647058823,NA,1.0223529411764707,0.0825,0.8139686826229936
CRAM,CRAM.AOS.littoral1,2022,5,16,16,0.3253125,NA,0.34249999999999997,0.10333333333333333,10.208333333333332
CRAM,CRAM.AOS.littoral2,2022,5,13,13,0.25384615384615383,NA,0.26692307692307693,0.15555555555555556,2.625
CRAM,CRAM.AOS.buoy.c1,2022,7,16,16,0.88,NA,1.09,0.06857142857142857,0.4819532091734646
CRAM,CRAM.AOS.littoral1,2022,7,12,12,0.17583333333333334,NA,0.19333333333333333,0.08866666666666667,2.861111111111111
CRAM,CRAM.AOS.littoral2,2022,7,16,16,0.23125,NA,0.24375,0.097,1.7708333333333335
CRAM,CRAM.AOS.buoy.c1,2022,9,15,15,0.8946666666666666,NA,1.0686666666666667,0.08875,0.7730151716011194
CRAM,CRAM.AOS.littoral1,2022,9,13,13,0.20576923076923076,NA,0.21923076923076923,0.09,16.439102564102562
CRAM,CRAM.AOS.littoral2,2022,9,11,11,0.2222727272727273,NA,0.23454545454545456,0.10437500000000001,33.86363636363636
CRAM,CRAM.AOS.buoy.c1,2023,5,13,13,0.7053846153846154,NA,0.7461538461538462,0.07,0.5485650529969628
CRAM,CRAM.AOS.littoral1,2023,5,10,10,0.267,NA,0.304,0.07033333333333333,2.6916666666666664
CRAM,CRAM.AOS.littoral2,2023,5,13,13,0.22923076923076924,NA,0.24461538461538462,0.071875,1.8333333333333335
CRAM,CRAM.AOS.buoy.c1,2023,7,17,17,0.6108823529411764,NA,0.71882352941176475,0.093,0.34009574821064603
CRAM,CRAM.AOS.littoral1,2023,7,9,9,0.2611111111111111,NA,0.27444444444444444,0.1,8.680555555555555
CRAM,CRAM.AOS.littoral2,2023,7,9,9,0.16333333333333333,NA,0.19,0.10225000000000001,5.736111111111111
CRAM,CRAM.AOS.buoy.c1,2023,9,15,15,0.323,NA,0.38666666666666666,0.10500000000000001,1.6688296082672436
CRAM,CRAM.AOS.littoral1,2023,9,13,13,0.3003846153846154,NA,0.3323076923076923,0.0675,10.948717948717947
CRAM,CRAM.AOS.littoral2,2023,9,16,16,0.20781249999999998,NA,0.225,0.08,6.815104166666666
CRAM,CRAM.AOS.buoy.c1,2024,4,15,15,0.2673333333333333,NA,0.34800000000000003,0.1,0.4995970991136181
CRAM,CRAM.AOS.littoral1,2024,4,7,7,0.24285714285714285,NA,0.33285714285714285,0.07200000000000001,63.392857142857146
CRAM,CRAM.AOS.littoral2,2024,4,10,10,0.243,NA,0.298,0.10333333333333333,16.47083333333333
CRAM,CRAM.AOS.buoy.c1,2024,7,19,19,0.9536842105263158,NA,1.0710526315789475,0.11,1.856226124988548
CRAM,CRAM.AOS.littoral1,2024,7,11,11,0.20136363636363636,NA,0.22454545454545455,0.11555555555555555,47.34848484848485
CRAM,CRAM.AOS.littoral2,2024,7,10,10,0.196,NA,0.226,0.07714285714285714,41.354166666666664
CRAM,CRAM.AOS.buoy.c1,2024,9,8,8,1.5474999999999999,NA,1.6000000000000003,0.076,3.75280199252802
CRAM,CRAM.AOS.littoral1,2024,9,11,11,0.3813636363636364,NA,0.44545454545454544,0.062,3.9090909090909087
CRAM,CRAM.AOS.littoral2,2024,9,16,16,0.3109375,NA,0.34375,0.08272727272727273,7.971354166666666
LIRO,LIRO.AOS.buoy.c0,2017,4,17,17,0.29926470588235293,NA,0.325,0.08333333333333334,7.662581630685722
LIRO,LIRO.AOS.littoral1,2017,4,10,10,0.3361111111111111,NA,0.3416666666666667,NA,45.9375
LIRO,LIRO.AOS.littoral2,2017,4,13,13,0.2932692307692308,NA,0.3019230769230769,0.07,21.45192307692308
LIRO,LIRO.AOS.buoy.c0,2017,7,10,10,0.3445,NA,0.357,0.07,67.33403582718651
LIRO,LIRO.AOS.littoral1,2017,7,10,10,0.2995,NA,0.324,0.07,32.5
LIRO,LIRO.AOS.littoral2,2017,7,12,12,0.4058333333333333,NA,0.4633333333333333,0.07,33.05555555555556
LIRO,LIRO.AOS.buoy.c0,2017,9,16,16,0.4821875,NA,0.540625,NA,6.5595363540569025
LIRO,LIRO.AOS.littoral1,2017,9,14,14,0.47678571428571426,NA,0.5685714285714286,NA,0.8928571428571429
LIRO,LIRO.AOS.littoral2,2017,9,13,13,0.6096153846153846,NA,0.6946153846153846,NA,0.6955128205128205
LIRO,LIRO.AOS.buoy.c0,2018,5,12,12,0.39,NA,0.42500000000000004,0.09,23.211567732115675
LIRO,LIRO.AOS.littoral1,2018,5,12,12,0.32166666666666666,NA,0.35083333333333333,0.08666666666666667,7.152777777777778
LIRO,LIRO.AOS.littoral2,2018,5,11,11,0.30272727272727273,NA,0.3463636363636364,0.07666666666666667,9.734848484848484
LIRO,LIRO.AOS.buoy.c0,2018,7,15,15,1.0430000000000001,NA,1.0966666666666667,0.07,12.106171748416555
LIRO,LIRO.AOS.littoral1,2018,7,12,12,0.395,NA,0.4791666666666667,0.065,6.932870370370371
LIRO,LIRO.AOS.littoral2,2018,7,10,10,0.6425,NA,0.685,NA,1.2944444444444445
LIRO,LIRO.AOS.buoy.c0,2018,9,14,14,0.7475,NA,0.8007142857142857,0.06333333333333334,7.279843444227006
LIRO,LIRO.AOS.littoral1,2018,9,11,11,0.42272727272727273,NA,0.49909090909090914,0.07,4.761363636363636
LIRO,LIRO.AOS.littoral2,2018,9,10,10,0.42200000000000004,NA,0.47400000000000003,0.065,8.025
LIRO,LIRO.AOS.buoy.c0,2019,5,13,13,0.2673076923076923,NA,0.3,0.077,20.271338250790304
LIRO,LIRO.AOS.littoral1,2019,5,11,11,0.30454545454545456,NA,0.325,0.077,34.090909090909086
LIRO,LIRO.AOS.littoral2,2019,5,13,13,0.36826923076923074,NA,0.40192307692307694,0.07533333333333334,43.97435897435897
LIRO,LIRO.AOS.buoy.c1,2019,7,18,18,0.5208333333333334,NA,0.5819444444444445,0.06766666666666667,5.9908675799086755
LIRO,LIRO.AOS.littoral1,2019,7,15,15,0.5391666666666667,NA,0.6483333333333333,NA,4.1305555555555555
LIRO,LIRO.AOS.littoral2,2019,7,14,14,0.5651785714285714,NA,0.6607142857142857,0.075,2.0863095238095237
LIRO,LIRO.AOS.buoy.c1,2019,9,18,18,0.79375,NA,0.9999999999999999,0.064,1.0744023636852
LIRO,LIRO.AOS.littoral1,2019,9,12,12,0.334375,NA,0.4041666666666667,0.0625,6.666666666666667
LIRO,LIRO.AOS.littoral2,2019,9,13,13,0.5903846153846154,NA,0.6826923076923077,0.053,13.461538461538462
LIRO,LIRO.AOS.buoy.c1,2020,6,13,13,0.23846153846153847,NA,0.2519230769230769,0.059500000000000004,51.04788666432502
LIRO,LIRO.AOS.littoral1,2020,6,9,9,0.18472222222222223,NA,0.20277777777777778,0.08549999999999999,277.037037037037
LIRO,LIRO.AOS.littoral2,2020,6,7,7,0.22083333333333333,NA,0.23333333333333334,0.08549999999999999,235.23809523809527
LIRO,LIRO.AOS.buoy.c1,2020,7,16,16,0.35390625,NA,0.36562500000000003,0.054000000000000006,11.246886674968867
LIRO,LIRO.AOS.littoral1,2020,7,14,14,0.5866071428571429,NA,0.7160714285714286,0.062,3.556547619047619
LIRO,LIRO.AOS.littoral2,2020,7,14,14,0.49196428571428574,NA,0.5821428571428572,0.0625,2.0267857142857144
LIRO,LIRO.AOS.buoy.c1,2020,9,18,18,0.8972222222222223,NA,0.9847222222222222,0.05,3.796221685021041
LIRO,LIRO.AOS.littoral1,2020,9,14,14,0.5669642857142857,NA,0.6303571428571428,0.05,3.0416666666666665
LIRO,LIRO.AOS.littoral2,2020,9,13,13,0.5951923076923077,NA,0.6596153846153846,0.05,1.592948717948718
LIRO,LIRO.AOS.buoy.c1,2021,4,17,17,0.29921875,NA,0.3125,0.0625,11.760676873489125
LIRO,LIRO.AOS.littoral1,2021,4,16,16,0.23515625,NA,0.2625,0.07,19.6875
LIRO,LIRO.AOS.littoral2,2021,4,18,18,0.30416666666666664,NA,0.3388888888888889,0.08549999999999999,60.92592592592593
LIRO,LIRO.AOS.buoy.c1,2021,7,22,22,0.6073863636363637,NA,0.7056818181818182,0.05,2.2459180849591807
LIRO,LIRO.AOS.littoral1,2021,7,13,13,0.4041666666666667,NA,0.49166666666666664,0.05,5.881410256410256
LIRO,LIRO.AOS.littoral2,2021,7,13,13,0.4798076923076923,NA,0.5846153846153846,0.075,5.032051282051282
LIRO,LIRO.AOS.buoy.c1,2021,9,8,8,1.14125,NA,1.26,0.08,1.937071917808219
LIRO,LIRO.AOS.littoral1,2021,9,9,9,0.6666666666666666,NA,0.7166666666666667,0.08,6.944444444444445
LIRO,LIRO.AOS.littoral2,2021,9,10,10,0.751,NA,0.7959999999999999,0.08,2.1958333333333333
LIRO,LIRO.AOS.buoy.c1,2022,5,17,17,0.9970588235294118,NA,1.0282352941176471,0.07350000000000001,0.7884727023818807
LIRO,LIRO.AOS.littoral1,2022,5,13,13,0.5696153846153846,NA,0.6253846153846154,0.1461111111111111,4.8076923076923075
LIRO,LIRO.AOS.littoral2,2022,5,7,7,0.25857142857142856,NA,0.28714285714285714,0.066,0.8988095238095238
LIRO,LIRO.AOS.buoy.c1,2022,7,13,13,1.1784615384615384,NA,1.2476923076923077,0.07333333333333333,2.3533544081489284
LIRO,LIRO.AOS.littoral1,2022,7,8,8,0.4362500000000001,NA,0.5,0.07125000000000001,2.916666666666667
LIRO,LIRO.AOS.littoral2,2022,7,10,10,0.468,NA,0.538,0.078,8.583333333333334
LIRO,LIRO.AOS.buoy.c1,2022,9,11,11,0.7059090909090909,NA,0.7890909090909091,0.055,1.1558219178082192
LIRO,LIRO.AOS.littoral1,2022,9,11,11,0.40454545454545454,NA,0.46818181818181814,0.06,4.318181818181818
LIRO,LIRO.AOS.littoral2,2022,9,10,10,0.3695,NA,0.426,0.06375,10.6
LIRO,LIRO.AOS.buoy.c1,2023,5,13,13,0.40807692307692306,NA,0.45076923076923076,0.0642857142857143,1.5200210748155956
LIRO,LIRO.AOS.littoral1,2023,5,9,9,0.34444444444444444,NA,0.4077777777777778,0.058,4.560185185185185
LIRO,LIRO.AOS.littoral2,2023,5,10,10,0.34500000000000003,NA,0.38,0.06833333333333333,4.666666666666667
LIRO,LIRO.AOS.buoy.c1,2023,7,13,13,1.028846153846154,NA,1.2361538461538462,0.0675,0.7432838188472303
LIRO,LIRO.AOS.littoral1,2023,7,8,8,0.261875,NA,0.28375,0.064,8.59375
LIRO,LIRO.AOS.littoral2,2023,7,10,10,0.376,NA,0.412,0.054,9.979166666666666
LIRO,LIRO.AOS.buoy.c1,2023,9,19,19,0.6352631578947369,NA,0.9478947368421053,0.075,1.7204998798365778
LIRO,LIRO.AOS.littoral1,2023,9,10,10,0.446,NA,0.548,0.11800000000000001,7.375
LIRO,LIRO.AOS.littoral2,2023,9,18,18,0.3466666666666667,NA,0.4727777777777778,0.09272727272727273,2.4652777777777777
LIRO,LIRO.AOS.buoy.c1,2024,4,14,14,0.20249999999999999,NA,0.22428571428571428,0.08416666666666667,16.60743639921722
LIRO,LIRO.AOS.littoral1,2024,4,14,14,0.22607142857142856,NA,0.2792857142857143,0.077,18.0625
LIRO,LIRO.AOS.littoral2,2024,4,17,17,0.25058823529411767,NA,0.3029411764705882,0.09692307692307692,73.02696078431373
LIRO,LIRO.AOS.buoy.c1,2024,7,11,11,0.7181818181818181,NA,0.8654545454545455,0.075,6.323951847239519
LIRO,LIRO.AOS.littoral1,2024,7,7,7,0.59,NA,0.812857142857143,0.065,10.952380952380953
LIRO,LIRO.AOS.littoral2,2024,7,10,10,0.463,NA,0.5850000000000001,0.14333333333333334,6.316666666666667
LIRO,LIRO.AOS.buoy.c1,2024,9,14,14,0.6482142857142857,NA,0.8157142857142857,0.1225,1.462249123924817
LIRO,LIRO.AOS.littoral2,2024,9,13,13,0.4640384615384615,NA,0.561923076923077,0.10214285714285716,2.2788461538461537
PRLA,PRLA.AOS.buoy.c0,2014,7,15,15,0.31905,NA,0.38353333333333334,0.057562499999999996,35.90816844241502
PRLA,PRLA.AOS.littoral1,2014,7,14,14,0.29096428571428573,NA,0.3302857142857143,0.052714285714285714,78.98189484126983
PRLA,PRLA.AOS.littoral2,2014,7,13,13,0.39542307692307693,NA,0.4538846153846154,0.07933333333333333,162.633547008547
PRLA,PRLA.AOS.buoy.c0,2014,9,11,11,0.42472727272727273,NA,0.4810909090909091,0.081,18.313056806207488
