"","domainID","siteID","collectDate","sampleID","chlorophyllMicrogramsPerLiter"
"9088","D03","FLNT",2020-09-15,"FLNT.20200915.PHYTOPLANKTON.1.CHL/PHEO.1",2.03
"9093","D03","FLNT",2020-10-13,"FLNT.20201013.PHYTOPLANKTON.2.CHL/PHEO.1",0.45
"9117","D03","FLNT",2020-10-13,"FLNT.20201013.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",0.42
"9135","D03","FLNT",2020-10-13,"FLNT.20201013.PHYTOPLANKTON.1.CHL/PHEO.1",0.5
"9149","D03","FLNT",2020-10-13,"FLNT.20201013.PHYTOPLANKTON.3.CHL/PHEO.1",0.43
"9181","D03","FLNT",2021-03-03,"FLNT.20210303.PHYTOPLANKTON.3.CHL/PHEO.1",0.55
"9189","D03","FLNT",2021-03-03,"FLNT.20210303.PHYTOPLANKTON.2.CHL/PHEO.1",0.54
"9227","D03","FLNT",2021-03-03,"FLNT.20210303.PHYTOPLANKTON.1.CHL/PHEO.1",0.35
"9260","D03","FLNT",2021-03-03,"FLNT.20210303.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",0.54
"9303","D03","FLNT",2021-06-23,"FLNT.20210623.PHYTOPLANKTON.3.CHL/PHEO.1",1.6
"9324","D03","FLNT",2021-06-23,"FLNT.20210623.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.19
"9326","D03","FLNT",2021-06-23,"FLNT.20210623.PHYTOPLANKTON.2.CHL/PHEO.1",1.73
"9332","D03","FLNT",2021-06-23,"FLNT.20210623.PHYTOPLANKTON.1.CHL/PHEO.1",1.14
"9466","D03","FLNT",2022-07-19,"FLNT.20220719.PHYTOPLANKTON.3.CHL/PHEO.1",3.08
"9484","D03","FLNT",2022-07-19,"FLNT.20220719.PHYTOPLANKTON.1.CHL/PHEO.1",3.71
"9488","D03","FLNT",2022-07-19,"FLNT.20220719.PHYTOPLANKTON.2.CHL/PHEO.1",4.15
"9538","D03","FLNT",2022-10-11,"FLNT.20221011.PHYTOPLANKTON.1.CHL/PHEO.1",1.72
"9550","D03","FLNT",2022-10-11,"FLNT.20221011.PHYTOPLANKTON.2.CHL/PHEO.1",2.24
"9617","D03","FLNT",2022-10-11,"FLNT.20221011.PHYTOPLANKTON.3.CHL/PHEO.1",3.01
"9667","D03","FLNT",2023-03-14,"FLNT.20230314.PHYTOPLANKTON.3.CHL/PHEO.1",1.35
"9677","D03","FLNT",2023-03-14,"FLNT.20230314.PHYTOPLANKTON.1.CHL/PHEO.1",1.11
"9678","D03","FLNT",2023-03-14,"FLNT.20230314.PHYTOPLANKTON.2.CHL/PHEO.1",1.1
"10578","D03","SUGG",2017-11-13,"SUGG.20171113.PHYTOPLANKTON.3",0.24
"10593","D03","SUGG",2017-11-13,"SUGG.20171113.PHYTOPLANKTON.2",0.03
"10598","D03","SUGG",2017-11-13,"SUGG.20171113.PHYTOPLANKTON.1",-0.14
"10660","D03","SUGG",2018-02-19,"SUGG.20180219.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",0.68
"10666","D03","SUGG",2018-02-19,"SUGG.20180219.PHYTOPLANKTON.2.CHL/PHEO.1",0.67
"10679","D03","SUGG",2018-02-19,"SUGG.20180219.PHYTOPLANKTON.1.CHL/PHEO.1",0.39
"10695","D03","SUGG",2018-02-19,"SUGG.20180219.PHYTOPLANKTON.3.CHL/PHEO.1",0.84
"10730","D03","SUGG",2018-07-11,"SUGG.20180711.PHYTOPLANKTON.2.CHL/PHEO.1",3.56
"10742","D03","SUGG",2018-07-11,"SUGG.20180711.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.76
"10760","D03","SUGG",2018-07-11,"SUGG.20180711.PHYTOPLANKTON.3.CHL/PHEO.1",1.32
"10788","D03","SUGG",2018-07-11,"SUGG.20180711.PHYTOPLANKTON.1.CHL/PHEO.1",1.75
"10815","D03","SUGG",2018-11-06,"SUGG.20181106.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",0.58
"10826","D03","SUGG",2018-11-06,"SUGG.20181106.PHYTOPLANKTON.2.CHL/PHEO.1",0.87
"10843","D03","SUGG",2018-11-06,"SUGG.20181106.PHYTOPLANKTON.3.CHL/PHEO.1",0.47
"10861","D03","SUGG",2018-11-06,"SUGG.20181106.PHYTOPLANKTON.1.CHL/PHEO.1",0.44
"10878","D03","SUGG",2019-02-18,"SUGG.20190218.PHYTOPLANKTON.3.CHL/PHEO.1",0.63
"10907","D03","SUGG",2019-02-18,"SUGG.20190218.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",0.82
"10926","D03","SUGG",2019-02-18,"SUGG.20190218.PHYTOPLANKTON.1.CHL/PHEO.1",1.69
"10937","D03","SUGG",2019-02-18,"SUGG.20190218.PHYTOPLANKTON.2.CHL/PHEO.1",0.32
"10998","D03","SUGG",2019-07-15,"SUGG.20190715.PHYTOPLANKTON.3.CHL/PHEO.1",1.63
"10999","D03","SUGG",2019-07-15,"SUGG.20190715.PHYTOPLANKTON.1.CHL/PHEO.1",2.3
"11014","D03","SUGG",2019-07-15,"SUGG.20190715.PHYTOPLANKTON.2.CHL/PHEO.1",1.53
"11023","D03","SUGG",2019-07-15,"SUGG.20190715.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.66
"11025","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.2.CHL/PHEO.1",1.29
"11050","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.03
"11051","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.1.CHL/PHEO.1",0.9
"11053","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.1.CHL/PHEO.1",2.19
"11062","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.3.CHL/PHEO.1",2.92
"11066","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.2.CHL/PHEO.1",2.63
"11082","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",2.31
"11095","D03","SUGG",2019-11-05,"SUGG.20191105.PHYTOPLANKTON.3.CHL/PHEO.1",1.62
"11171","D03","SUGG",2020-07-15,"SUGG.20200715.PHYTOPLANKTON.2.CHL/PHEO.1",3.11
"11233","D03","SUGG",2020-07-15,"SUGG.20200715.PHYTOPLANKTON.1.CHL/PHEO.1",4.16
"11241","D03","SUGG",2020-07-15,"SUGG.20200715.PHYTOPLANKTON.3.CHL/PHEO.1",3.25
"11249","D03","SUGG",2020-07-15,"SUGG.20200715.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",4.05
"11269","D03","SUGG",2020-11-04,"SUGG.20201104.PHYTOPLANKTON.1.CHL/PHEO.1",1.31
"11284","D03","SUGG",2020-11-04,"SUGG.20201104.PHYTOPLANKTON.3.CHL/PHEO.1",1.46
"11299","D03","SUGG",2020-11-04,"SUGG.20201104.PHYTOPLANKTON.2.CHL/PHEO.1",2.72
"11304","D03","SUGG",2020-11-04,"SUGG.20201104.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",2.91
"11380","D03","SUGG",2021-02-25,"SUGG.20210225.PHYTOPLANKTON.1.CHL/PHEO.1",0.94
"11386","D03","SUGG",2021-02-25,"SUGG.20210225.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",1.05
"11409","D03","SUGG",2021-02-25,"SUGG.20210225.PHYTOPLANKTON.3.CHL/PHEO.1",0.86
"11444","D03","SUGG",2021-02-25,"SUGG.20210225.PHYTOPLANKTON.2.CHL/PHEO.1",0.96
"11474","D03","SUGG",2021-06-30,"SUGG.20210630.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",2.83
"11480","D03","SUGG",2021-06-30,"SUGG.20210630.PHYTOPLANKTON.3.CHL/PHEO.1",2.79
"11522","D03","SUGG",2021-06-30,"SUGG.20210630.PHYTOPLANKTON.2.CHL/PHEO.1",2.49
"11608","D03","SUGG",2022-07-13,"SUGG.20220713.PHYTOPLANKTON.3.CHL/PHEO.1",9.32
"11678","D03","SUGG",2022-07-13,"SUGG.20220713.PHYTOPLANKTON.2.CHL/PHEO.1",8.08
"11686","D03","SUGG",2022-07-13,"SUGG.20220713.PHYTOPLANKTON.1.CHL/PHEO.1",6.51
"11736","D03","SUGG",2022-10-31,"SUGG.20221031.PHYTOPLANKTON.2.CHL/PHEO.1",1.43
"11771","D03","SUGG",2022-10-31,"SUGG.20221031.PHYTOPLANKTON.3.CHL/PHEO.1",1.64
"11785","D03","SUGG",2022-10-31,"SUGG.20221031.PHYTOPLANKTON.1.CHL/PHEO.1",2.29
"11800","D03","SUGG",2023-02-14,"SUGG.20230214.PHYTOPLANKTON.3.CHL/PHEO.1",1.76
"11847","D03","SUGG",2023-02-14,"SUGG.20230214.PHYTOPLANKTON.2.CHL/PHEO.1",2.62
"11860","D03","SUGG",2023-02-14,"SUGG.20230214.PHYTOPLANKTON.1.CHL/PHEO.1",1.8
"11882","D03","SUGG",2023-07-11,"SUGG.20230711.PHYTOPLANKTON.1.CHL/PHEO.1",8.75
"11902","D03","SUGG",2023-07-11,"SUGG.20230711.PHYTOPLANKTON.2.CHL/PHEO.1",9.57
"11946","D03","SUGG",2023-07-11,"SUGG.20230711.PHYTOPLANKTON.3.CHL/PHEO.1",11.05
"17540","D05","CRAM",2018-05-10,"CRAM.20180510.PHYTOPLANKTON.2.CHL/PHEO.1",3.42
"17564","D05","CRAM",2018-05-10,"CRAM.20180510.PHYTOPLANKTON.3.CHL/PHEO.1",3.57
"17580","D05","CRAM",2018-05-10,"CRAM.20180510.PHYTOPLANKTON.1.CHL/PHEO.1",3.06
"17649","D05","CRAM",2018-07-16,"CRAM.20180716.PHYTOPLANKTON.2.CHL/PHEO.1",4.19
"17660","D05","CRAM",2018-07-16,"CRAM.20180716.PHYTOPLANKTON.3.CHL/PHEO.1",3.3
"17666","D05","CRAM",2018-07-16,"CRAM.20180716.PHYTOPLANKTON.1.CHL/PHEO.1",3.72
"17718","D05","CRAM",2018-09-27,"CRAM.20180927.PHYTOPLANKTON.1.CHL/PHEO.1",161.59
"17725","D05","CRAM",2018-09-27,"CRAM.20180927.PHYTOPLANKTON.3.CHL/PHEO.1",47.69
"17731","D05","CRAM",2018-09-27,"CRAM.20180927.PHYTOPLANKTON.2.CHL/PHEO.1",86.77
"17790","D05","CRAM",2019-05-08,"CRAM.20190508.PHYTOPLANKTON.3.CHL/PHEO.1",3.86
"17791","D05","CRAM",2019-05-08,"CRAM.20190508.PHYTOPLANKTON.3.REP2.CHL/PHEO.2",1.28
"17794","D05","CRAM",2019-05-08,"CRAM.20190508.PHYTOPLANKTON.1.CHL/PHEO.1",1.42
"17835","D05","CRAM",2019-05-08,"CRAM.20190508.PHYTOPLANKTON.2.CHL/PHEO.1",1.03
"17842","D05","CRAM",2019-07-11,"CRAM.20190711.PHYTOPLANKTON.3.CHL/PHEO.1",3.07
"17858","D05","CRAM",2019-07-11,"CRAM.20190711.PHYTOPLANKTON.2.CHL/PHEO.1",2.52
"17865","D05","CRAM",2019-07-11,"CRAM.20190711.PHYTOPLANKTON.1.CHL/PHEO.1",2.56
"17925","D05","CRAM",2019-09-25,"CRAM.20190925.PHYTOPLANKTON.3.CHL/PHEO.1",3.46
"17955","D05","CRAM",2019-09-25,"CRAM.20190925.PHYTOPLANKTON.2.CHL/PHEO.1",3.73
"17960","D05","CRAM",2019-09-25,"CRAM.20190925.PHYTOPLANKTON.1.CHL/PHEO.1",2.84
"17977","D05","CRAM",2019-09-25,"CRAM.20190925.PHYTOPLANKTON.2.REP2.CHL/PHEO.2",3.98
"18006","D05","CRAM",2020-06-08,"CRAM.20200608.PHYTOPLANKTON.2.CHL/PHEO.1",1.74
"18011","D05","CRAM",2020-06-08,"CRAM.20200608.PHYTOPLANKTON.1.CHL/PHEO.1",4.08
"18030","D05","CRAM",2020-06-08,"CRAM.20200608.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.64
"18043","D05","CRAM",2020-06-08,"CRAM.20200608.PHYTOPLANKTON.7.CHL/PHEO.1",1.54
"18077","D05","CRAM",2020-07-15,"CRAM.20200715.PHYTOPLANKTON.2.CHL/PHEO.1",2.77
"18086","D05","CRAM",2020-07-15,"CRAM.20200715.PHYTOPLANKTON.1.REP2.CHL/PHEO.2",1.12
"18099","D05","CRAM",2020-07-15,"CRAM.20200715.PHYTOPLANKTON.1.CHL/PHEO.1",1.1
"18162","D05","CRAM",2020-07-15,"CRAM.20200715.PHYTOPLANKTON.7.CHL/PHEO.1",2.77
"18216","D05","CRAM",2020-09-28,"CRAM.20200928.PHYTOPLANKTON.1.CHL/PHEO.1",3.48
"18218","D05","CRAM",2020-09-28,"CRAM.20200928.PHYTOPLANKTON.5.CHL/PHEO.1",5.74
"18219","D05","CRAM",2020-09-28,"CRAM.20200928.PHYTOPLANKTON.2.CHL/PHEO.1",5.5
"18278","D05","CRAM",2021-04-27,"CRAM.20210427.PHYTOPLANKTON.1.CHL/PHEO.1",3.16
"18312","D05","CRAM",2021-04-27,"CRAM.20210427.PHYTOPLANKTON.2.CHL/PHEO.1",3.18
"18342","D05","CRAM",2021-04-27,"CRAM.20210427.PHYTOPLANKTON.4.CHL/PHEO.1",2.61
"18372","D05","CRAM",2021-07-13,"CRAM.20210713.PHYTOPLANKTON.7.CHL/PHEO.1",1.84
"18391","D05","CRAM",2021-07-13,"CRAM.20210713.PHYTOPLANKTON.1.CHL/PHEO.1",2.16
"18392","D05","CRAM",2021-07-13,"CRAM.20210713.PHYTOPLANKTON.2.CHL/PHEO.1",2.21
"18429","D05","CRAM",2021-09-27,"CRAM.20210927.PHYTOPLANKTON.1.CHL/PHEO.1",18.72
"18438","D05","CRAM",2021-09-27,"CRAM.20210927.PHYTOPLANKTON.2.CHL/PHEO.1",8.7
"18487","D05","CRAM",2021-09-27,"CRAM.20210927.PHYTOPLANKTON.3.CHL/PHEO.1",4.08
"18510","D05","CRAM",2022-05-24,"CRAM.20220524.PHYTOPLANKTON.3.CHL/PHEO.1",11.16
"18520","D05","CRAM",2022-05-24,"CRAM.20220524.PHYTOPLANKTON.1.CHL/PHEO.1",15.49
"18554","D05","CRAM",2022-05-24,"CRAM.20220524.PHYTOPLANKTON.2.CHL/PHEO.1",13.08
"18658","D05","CRAM",2022-07-12,"CRAM.20220712.PHYTOPLANKTON.1.CHL/PHEO.1",5.13
"18662","D05","CRAM",2022-07-12,"CRAM.20220712.PHYTOPLANKTON.2.CHL/PHEO.1",2.67
"18665","D05","CRAM",2022-07-12,"CRAM.20220712.PHYTOPLANKTON.3.CHL/PHEO.1",3.12
"18719","D05","CRAM",2022-09-26,"CRAM.20220926.PHYTOPLANKTON.1.CHL/PHEO.1",14.92
"18720","D05","CRAM",2022-09-26,"CRAM.20220926.PHYTOPLANKTON.3.CHL/PHEO.1",14.54
"18727","D05","CRAM",2022-09-26,"CRAM.20220926.PHYTOPLANKTON.2.CHL/PHEO.1",18.03
"18760","D05","CRAM",2023-05-22,"CRAM.20230522.PHYTOPLANKTON.3.CHL/PHEO.1",14.49
"18764","D05","CRAM",2023-05-22,"CRAM.20230522.PHYTOPLANKTON.2.CHL/PHEO.1",12.43
"18780","D05","CRAM",2023-05-22,"CRAM.20230522.PHYTOPLANKTON.1.CHL/PHEO.1",9.54
"18831","D05","CRAM",2023-07-17,"CRAM.20230717.PHYTOPLANKTON.1.CHL/PHEO.1",4.15
"18863","D05","CRAM",2023-07-17,"CRAM.20230717.PHYTOPLANKTON.2.CHL/PHEO.1",3.28
"18872","D05","CRAM",2023-07-17,"CRAM.20230717.PHYTOPLANKTON.3.CHL/PHEO.1",3.85
"18923","D05","CRAM",2023-09-26,"CRAM.20230926.PHYTOPLANKTON.3.CHL/PHEO.1",15.37
"18962","D05","CRAM",2023-09-26,"CRAM.20230926.PHYTOPLANKTON.1.CHL/PHEO.1",11.94
"18978","D05","CRAM",2023-09-26,"CRAM.20230926.PHYTOPLANKTON.2.CHL/PHEO.1",16.36
"19172","D05","LIRO",2018-05-17,"LIRO.20180517.PHYTOPLANKTON.1.CHL/PHEO.1",5.83
"19185","D05","LIRO",2018-05-17,"LIRO.20180517.PHYTOPLANKTON.2.CHL/PHEO.1",2.93
"19217","D05","LIRO",2018-05-17,"LIRO.20180517.PHYTOPLANKTON.3.CHL/PHEO.1",2.14
"19315","D05","LIRO",2018-07-23,"LIRO.20180723.PHYTOPLANKTON.3.CHL/PHEO.1",1.41
"19325","D05","LIRO",2018-07-23,"LIRO.20180723.PHYTOPLANKTON.1.CHL/PHEO.1",2.78
"19327","D05","LIRO",2018-07-23,"LIRO.20180723.PHYTOPLANKTON.2.CHL/PHEO.1",1.53
"19420","D05","LIRO",2019-05-15,"LIRO.20190515.PHYTOPLANKTON.1.CHL/PHEO.1",8.91
"19427","D05","LIRO",2019-05-15,"LIRO.20190515.PHYTOPLANKTON.3.CHL/PHEO.1",2.94
"19478","D05","LIRO",2019-05-15,"LIRO.20190515.PHYTOPLANKTON.2.CHL/PHEO.1",3.87
"19495","D05","LIRO",2019-07-24,"LIRO.20190724.PHYTOPLANKTON.1.CHL/PHEO.1",16.31
"19499","D05","LIRO",2019-07-24,"LIRO.20190724.PHYTOPLANKTON.3.CHL/PHEO.1",2.96
"19510","D05","LIRO",2019-07-24,"LIRO.20190724.PHYTOPLANKTON.2.CHL/PHEO.1",2.82
"19571","D05","LIRO",2019-09-10,"LIRO.20190910.PHYTOPLANKTON.3.CHL/PHEO.1",2.45
"19584","D05","LIRO",2019-09-10,"LIRO.20190910.PHYTOPLANKTON.1.CHL/PHEO.1",11.52
"19597","D05","LIRO",2019-09-10,"LIRO.20190910.PHYTOPLANKTON.2.CHL/PHEO.1",2.53
